variant_id,family,side,trade_count,fill_count,profit_factor,hit_rate,mean_trade_return_bps,median_trade_return_bps,walk_forward_pass_rate,gate_passed
long_momentum_3m_thr0p0075_hold5_v1,long_momentum_3m,long,96,192,0.47149889432594966,0.3333333333333333,-12.868092792737698,-11.343347937319368,0.0,False
long_momentum_3m_thr0p0075_hold10_v1,long_momentum_3m,long,95,190,0.6071773550490712,0.3473684210526316,-11.29219938115531,-12.423214472871553,0.0,False
long_momentum_3m_thr0p0075_hold15_v1,long_momentum_3m,long,93,186,0.6535563093966605,0.3225806451612903,-11.33889027284612,-19.373987013587687,0.0,False
short_momentum_3m_thr0p0015_hold2_v1,short_momentum_3m,short,6686,13372,0.16350865272540985,0.17050553395154053,-12.414519621384187,-10.606080781711654,0.0,False
short_momentum_3m_thr0p0015_hold3_v1,short_momentum_3m,short,6383,12766,0.18843449622592692,0.19457935140216198,-12.922125388148565,-10.606080781712278,0.0,False
short_momentum_3m_thr0p0015_hold5_v1,short_momentum_3m,short,5760,11520,0.22930021060011524,0.21649305555555556,-13.459303864801372,-10.77480802614932,0.0,False
short_momentum_3m_thr0p0015_hold10_v1,short_momentum_3m,short,4661,9322,0.2970002138958482,0.25573911177858827,-13.420560770363158,-12.222234420899628,0.0,False
short_momentum_3m_thr0p0015_hold15_v1,short_momentum_3m,short,4022,8044,0.31901934373049506,0.28045748383888613,-14.009049670669844,-14.11165131749864,0.0,False
short_momentum_3m_thr0p002_hold2_v1,short_momentum_3m,short,5165,10330,0.17322211418593017,0.18257502420135527,-12.759691638522828,-10.60608078171174,0.0,False
short_momentum_3m_thr0p002_hold3_v1,short_momentum_3m,short,4993,9986,0.19733551162519478,0.20008011215701982,-13.393899291702711,-10.606080781712315,0.0,False
short_momentum_3m_thr0p002_hold5_v1,short_momentum_3m,short,4561,9122,0.24125026639036962,0.227581670686253,-13.761405891236498,-10.799446518702254,0.0,False
short_momentum_3m_thr0p002_hold10_v1,short_momentum_3m,short,3755,7510,0.3019811529440899,0.2617842876165113,-14.102236039597347,-12.8379979055209,0.0,False
short_momentum_3m_thr0p002_hold15_v1,short_momentum_3m,short,3294,6588,0.32324627015738794,0.2847601700060716,-14.748384943244295,-14.738261981320614,0.0,False
short_momentum_3m_thr0p003_hold2_v1,short_momentum_3m,short,2991,5982,0.2057295050952262,0.1992644600468071,-12.706451584109445,-10.606080781711404,0.0,False
short_momentum_3m_thr0p003_hold3_v1,short_momentum_3m,short,2920,5840,0.23968459189929373,0.22602739726027396,-13.361178392018216,-10.606080781712109,0.0,False
short_momentum_3m_thr0p003_hold5_v1,short_momentum_3m,short,2702,5404,0.2882795960638159,0.25203552923760175,-13.340040864075233,-10.673461788348922,0.0,False
short_momentum_3m_thr0p003_hold10_v1,short_momentum_3m,short,2300,4600,0.3480570521321604,0.2965217391304348,-13.812814546023775,-12.300266715123172,0.0,False
short_momentum_3m_thr0p003_hold15_v1,short_momentum_3m,short,2067,4134,0.3680981577874905,0.3115626511852927,-14.491704493171108,-14.88022699043255,0.0,False
short_momentum_3m_thr0p004_hold2_v1,short_momentum_3m,short,1377,2754,0.2666463053446099,0.23674655047204066,-12.232849743883529,-10.606080781710865,0.0,False
short_momentum_3m_thr0p004_hold3_v1,short_momentum_3m,short,1349,2698,0.32059258046952865,0.2809488510007413,-12.155116667546226,-10.606080781712004,0.0,False
short_momentum_3m_thr0p004_hold5_v1,short_momentum_3m,short,1243,2486,0.3757944184872353,0.29927594529364443,-11.921523273318352,-10.60608078171373,0.0,False
short_momentum_3m_thr0p004_hold10_v1,short_momentum_3m,short,1108,2216,0.4231846950980193,0.33303249097472926,-12.936559107375029,-11.512321185815713,0.0,False
short_momentum_3m_thr0p004_hold15_v1,short_momentum_3m,short,1014,2028,0.44281789370098673,0.34023668639053256,-14.020796885382047,-14.904362945907753,0.0,False
short_momentum_3m_thr0p005_hold2_v1,short_momentum_3m,short,694,1388,0.31305916681989476,0.27953890489913547,-12.059386554629743,-10.606080781710233,0.0,False
short_momentum_3m_thr0p005_hold3_v1,short_momentum_3m,short,680,1360,0.3579835473168132,0.29411764705882354,-12.165223138556103,-10.606080781712521,0.0,False
short_momentum_3m_thr0p005_hold5_v1,short_momentum_3m,short,637,1274,0.4054429387911309,0.304552590266876,-12.259685285755387,-11.876028951561239,0.0,False
short_momentum_3m_thr0p005_hold10_v1,short_momentum_3m,short,574,1148,0.46678078257571143,0.34668989547038326,-12.549003131053015,-13.012625112206383,0.0,False
short_momentum_3m_thr0p005_hold15_v1,short_momentum_3m,short,538,1076,0.47652052573451636,0.3550185873605948,-14.004546664380612,-15.23817458896446,0.0,False
short_momentum_3m_thr0p0075_hold2_v1,short_momentum_3m,short,146,292,0.41497682554330334,0.3287671232876712,-12.505735248827337,-9.916740478176122,0.0,False
short_momentum_3m_thr0p0075_hold3_v1,short_momentum_3m,short,142,284,0.5091723281969571,0.30985915492957744,-10.740618085683813,-12.16048050124534,0.0,False
short_momentum_3m_thr0p0075_hold5_v1,short_momentum_3m,short,137,274,0.5540925596836697,0.39416058394160586,-11.184348107749356,-10.011145244712909,0.0,False
