run_id,strategy_id,trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,net_pnl,fees,slippage,holding_bars,holding_hours,attribution_source,funding_event_count,funding_pnl,net_pnl_before_funding,net_pnl_after_funding
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00047,BTCUSDT,long,2025-05-18T13:00:00+00:00,2025-05-20T13:00:00+00:00,104696.82,104581.02,0.2,-21.058797,-21.058797,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-21.058797,-21.058797
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00048,BTCUSDT,long,2025-06-03T14:00:00+00:00,2025-06-05T14:00:00+00:00,106579.68,104403.63,0.2,-383.779907,-383.779907,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-383.779907,-383.779907
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00049,BTCUSDT,long,2025-06-09T09:00:00+00:00,2025-06-11T09:00:00+00:00,106550.98,109410.54,0.2,469.063321,469.063321,0.0,0.0,48,48.0,ledger_equity_segments,0,0,469.063321,469.063321
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00050,BTCUSDT,long,2025-06-29T11:00:00+00:00,2025-07-01T11:00:00+00:00,108387.47,106536.56,0.2,-297.856563,-297.856563,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-297.856563,-297.856563
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00051,BTCUSDT,long,2025-07-02T14:00:00+00:00,2025-07-04T14:00:00+00:00,108140.25,107794.02,0.2,-51.897761,-51.897761,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-51.897761,-51.897761
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00052,BTCUSDT,long,2025-07-06T13:00:00+00:00,2025-07-08T13:00:00+00:00,108829.47,108964.61,0.2,18.899179,18.899179,0.0,0.0,48,48.0,ledger_equity_segments,0,0,18.899179,18.899179
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00053,BTCUSDT,long,2025-07-09T12:00:00+00:00,2025-07-11T12:00:00+00:00,109539.6,117958.86,0.2,1526.189654,1526.189654,0.0,0.0,48,48.0,ledger_equity_segments,0,0,1526.189654,1526.189654
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00054,BTCUSDT,long,2025-08-07T10:00:00+00:00,2025-08-09T10:00:00+00:00,116353.83,117479.2,0.2,186.629988,186.629988,0.0,0.0,48,48.0,ledger_equity_segments,0,0,186.629988,186.629988
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00055,BTCUSDT,long,2025-09-08T14:00:00+00:00,2025-09-10T14:00:00+00:00,112668.88,113747.18,0.2,178.093408,178.093408,0.0,0.0,48,48.0,ledger_equity_segments,0,0,178.093408,178.093408
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00056,BTCUSDT,long,2025-09-11T22:00:00+00:00,2025-09-13T22:00:00+00:00,115299.85,115847.95,0.2,75.925158,75.925158,0.0,0.0,48,48.0,ledger_equity_segments,0,0,75.925158,75.925158
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00057,BTCUSDT,long,2025-09-16T17:00:00+00:00,2025-09-18T17:00:00+00:00,116663.08,117535.67,0.2,114.010236,114.010236,0.0,0.0,48,48.0,ledger_equity_segments,0,0,114.010236,114.010236
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00058,BTCUSDT,long,2025-09-24T14:00:00+00:00,2025-09-26T14:00:00+00:00,113639.29,108750.0,0.2,-565.354062,-565.354062,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-565.354062,-565.354062
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00059,BTCUSDT,long,2025-10-26T09:00:00+00:00,2025-10-28T09:00:00+00:00,112583.6,114547.02,0.2,215.874544,215.874544,0.0,0.0,48,48.0,ledger_equity_segments,0,0,215.874544,215.874544
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00060,BTCUSDT,long,2025-11-09T18:00:00+00:00,2025-11-11T18:00:00+00:00,104477.62,103592.65,0.2,-117.673712,-117.673712,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-117.673712,-117.673712
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00061,BTCUSDT,long,2025-12-03T02:00:00+00:00,2025-12-05T02:00:00+00:00,92581.11,92653.77,0.2,-25.575426,-25.575426,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-25.575426,-25.575426
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00062,BTCUSDT,long,2025-12-07T17:00:00+00:00,2025-12-09T17:00:00+00:00,91122.71,93917.13,0.2,443.14495,443.14495,0.0,0.0,48,48.0,ledger_equity_segments,0,0,443.14495,443.14495
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00063,BTCUSDT,long,2025-12-22T12:00:00+00:00,2025-12-24T12:00:00+00:00,90252.19,87439.98,0.2,-12.098353,-12.098353,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-12.098353,-12.098353
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00064,BTCUSDT,long,2025-12-26T02:00:00+00:00,2025-12-28T02:00:00+00:00,89297.73,87811.0,0.2,-54.378621,-54.378621,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-54.378621,-54.378621
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00065,BTCUSDT,long,2025-12-29T00:00:00+00:00,2025-12-31T00:00:00+00:00,88411.13,88415.9,0.2,-0.576774,-0.576774,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-0.576774,-0.576774
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00066,BTCUSDT,long,2026-01-02T01:00:00+00:00,2026-01-04T01:00:00+00:00,89138.51,90973.15,0.2,397.667978,397.667978,0.0,0.0,48,48.0,ledger_equity_segments,0,0,397.667978,397.667978
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00067,BTCUSDT,long,2026-01-05T00:00:00+00:00,2026-01-07T00:00:00+00:00,92401.49,92724.36,0.2,71.457169,71.457169,0.0,0.0,48,48.0,ledger_equity_segments,0,0,71.457169,71.457169
