event_id,entry_timestamp,trigger_state,context_state,label_horizon,label_timestamp,label_return_bps,future_label_used_for_signal,simulated_order_intent,broker_or_private_endpoint_called
pullback_reclaim_24_dd100_4htrend100_v1_00064,2024-04-18T14:05:00+00:00,"{""prior_high"": 63052.7, ""pullback_depth"": 0.0223375, ""pullback_low"": 61644.26, ""volume_ratio"": 1.62367108}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-18T14:05:00+00:00"", ""trend_4h"": 0.01997101}",60m,2024-04-18T15:05:00+00:00,143.264115,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00065,2024-04-18T14:10:00+00:00,"{""prior_high"": 63052.7, ""pullback_depth"": 0.0223375, ""pullback_low"": 61644.26, ""volume_ratio"": 10.50565145}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-18T14:10:00+00:00"", ""trend_4h"": 0.01997101}",60m,2024-04-18T15:10:00+00:00,82.646595,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00066,2024-04-18T14:15:00+00:00,"{""prior_high"": 63052.7, ""pullback_depth"": 0.0223375, ""pullback_low"": 61644.26, ""volume_ratio"": 5.23580157}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-18T14:15:00+00:00"", ""trend_4h"": 0.03090103}",60m,2024-04-18T15:15:00+00:00,2.615443,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00067,2024-04-18T15:05:00+00:00,"{""prior_high"": 63052.7, ""pullback_depth"": 0.01789265, ""pullback_low"": 61924.52, ""volume_ratio"": 1.73426232}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-18T15:05:00+00:00"", ""trend_4h"": 0.03072774}",60m,2024-04-18T16:05:00+00:00,-100.841775,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00068,2024-04-19T06:45:00+00:00,"{""prior_high"": 63112.55, ""pullback_depth"": 0.02093387, ""pullback_low"": 61791.36, ""volume_ratio"": 2.13572415}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-19T06:45:00+00:00"", ""trend_4h"": 0.05483149}",60m,2024-04-19T07:45:00+00:00,101.870627,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00069,2024-04-19T06:50:00+00:00,"{""prior_high"": 63112.55, ""pullback_depth"": 0.02093387, ""pullback_low"": 61791.36, ""volume_ratio"": 3.51472139}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-19T06:50:00+00:00"", ""trend_4h"": 0.05483149}",60m,2024-04-19T07:50:00+00:00,-28.797439,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00070,2024-04-19T07:00:00+00:00,"{""prior_high"": 62740.0, ""pullback_depth"": 0.01512018, ""pullback_low"": 61791.36, ""volume_ratio"": 1.90596927}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-19T07:00:00+00:00"", ""trend_4h"": 0.05369866}",60m,2024-04-19T08:00:00+00:00,-26.931532,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00071,2024-04-19T08:05:00+00:00,"{""prior_high"": 62705.57, ""pullback_depth"": 0.01360964, ""pullback_low"": 61852.17, ""volume_ratio"": 2.84490179}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-19T08:05:00+00:00"", ""trend_4h"": 0.04470366}",60m,2024-04-19T09:05:00+00:00,-70.544096,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00072,2024-05-01T18:30:00+00:00,"{""prior_high"": 58248.35, ""pullback_depth"": 0.02737623, ""pullback_low"": 56653.73, ""volume_ratio"": 1.64328777}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-01T18:30:00+00:00"", ""trend_4h"": 0.01093949}",60m,2024-05-01T19:30:00+00:00,-199.983824,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00073,2024-05-01T18:40:00+00:00,"{""prior_high"": 58184.19, ""pullback_depth"": 0.02630371, ""pullback_low"": 56653.73, ""volume_ratio"": 19.8121961}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-01T18:40:00+00:00"", ""trend_4h"": 0.01093949}",60m,2024-05-01T19:40:00+00:00,-222.118027,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00074,2024-05-03T12:45:00+00:00,"{""prior_high"": 59591.87, ""pullback_depth"": 0.01221962, ""pullback_low"": 58863.68, ""volume_ratio"": 22.07380747}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-03T12:45:00+00:00"", ""trend_4h"": 0.01702257}",60m,2024-05-03T13:45:00+00:00,207.680285,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00075,2024-05-03T13:00:00+00:00,"{""prior_high"": 59591.87, ""pullback_depth"": 0.01178114, ""pullback_low"": 58889.81, ""volume_ratio"": 12.02797641}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-03T13:00:00+00:00"", ""trend_4h"": 0.02487163}",60m,2024-05-03T14:00:00+00:00,80.970588,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00076,2024-05-03T16:35:00+00:00,"{""prior_high"": 62079.03, ""pullback_depth"": 0.01184039, ""pullback_low"": 61343.99, ""volume_ratio"": 1.79820456}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-03T16:35:00+00:00"", ""trend_4h"": 0.04875936}",60m,2024-05-03T17:35:00+00:00,-49.279526,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00077,2024-05-03T23:15:00+00:00,"{""prior_high"": 63161.54, ""pullback_depth"": 0.01229451, ""pullback_low"": 62385.0, ""volume_ratio"": 1.3703821}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-03T23:15:00+00:00"", ""trend_4h"": 0.02084174}",60m,2024-05-04T00:15:00+00:00,-22.559446,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00078,2024-05-03T23:30:00+00:00,"{""prior_high"": 63161.54, ""pullback_depth"": 0.01229451, ""pullback_low"": 62385.0, ""volume_ratio"": 4.93538956}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-03T23:30:00+00:00"", ""trend_4h"": 0.02211742}",60m,2024-05-04T00:30:00+00:00,-46.515468,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00079,2024-05-09T15:05:00+00:00,"{""prior_high"": 61602.26, ""pullback_depth"": 0.01112881, ""pullback_low"": 60916.7, ""volume_ratio"": 1.83827697}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-09T15:05:00+00:00"", ""trend_4h"": 0.01149971}",60m,2024-05-09T16:05:00+00:00,84.785107,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00080,2024-05-09T15:25:00+00:00,"{""prior_high"": 61602.26, ""pullback_depth"": 0.01112881, ""pullback_low"": 60916.7, ""volume_ratio"": 4.12251864}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-09T15:25:00+00:00"", ""trend_4h"": 0.01500091}",60m,2024-05-09T16:25:00+00:00,47.257971,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00081,2024-05-13T07:50:00+00:00,"{""prior_high"": 61475.05, ""pullback_depth"": 0.01097909, ""pullback_low"": 60800.11, ""volume_ratio"": 24.24339952}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-13T07:50:00+00:00"", ""trend_4h"": 0.01214243}",60m,2024-05-13T08:50:00+00:00,91.822573,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00082,2024-05-13T08:00:00+00:00,"{""prior_high"": 61475.05, ""pullback_depth"": 0.01080959, ""pullback_low"": 60810.53, ""volume_ratio"": 28.16005479}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-13T08:00:00+00:00"", ""trend_4h"": 0.01885752}",60m,2024-05-13T09:00:00+00:00,64.920047,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00083,2024-05-15T13:25:00+00:00,"{""prior_high"": 62970.69, ""pullback_depth"": 0.01087665, ""pullback_low"": 62285.78, ""volume_ratio"": 6.44642187}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-15T13:25:00+00:00"", ""trend_4h"": 0.0276685}",60m,2024-05-15T14:25:00+00:00,25.517209,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00084,2024-05-15T13:30:00+00:00,"{""prior_high"": 62970.69, ""pullback_depth"": 0.01087665, ""pullback_low"": 62285.78, ""volume_ratio"": 7.61854766}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-15T13:30:00+00:00"", ""trend_4h"": 0.03247071}",60m,2024-05-15T14:30:00+00:00,-7.437399,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00085,2024-05-20T23:10:00+00:00,"{""prior_high"": 70000.0, ""pullback_depth"": 0.01517057, ""pullback_low"": 68938.06, ""volume_ratio"": 2.01165096}","{""context_interval"": ""15m"", ""feature_time"": ""2024-05-20T23:10:00+00:00"", ""trend_4h"": 0.01297939}",60m,2024-05-21T00:10:00+00:00,192.904117,False,long_target_position_replay,False
