sample_index,sample_captured_at,timestamp,ts,symbol,side,level,price,size,liquidation_orders,order_count,source_record_id
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,9,63912.3,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:9
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,10,63912.6,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:10
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,11,63912.7,15.69,0,4,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:11
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,12,63912.8,140.64,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:12
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,13,63912.9,0.02,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:13
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,14,63913.2,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:14
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,15,63913.4,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:15
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,16,63913.8,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:16
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,17,63914,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:17
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,18,63914.1,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:18
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,19,63914.3,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:19
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,20,63914.4,4.79,0,3,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:20
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,21,63914.5,39.32,0,3,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:21
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,22,63914.6,195.49,0,4,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:22
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,23,63914.7,75.01,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:23
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,24,63914.9,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:24
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,25,63915,28.46,0,5,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:25
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,26,63915.1,0.31,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:26
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,27,63915.2,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:27
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,28,63915.3,37.51,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:28
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,29,63915.6,0.12,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:29
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,30,63915.8,0.04,0,4,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:30
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,31,63915.9,12.58,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:31
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,32,63916,73.1,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:32
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,33,63916.1,87.19,0,3,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:33
